name|rating|number_of_photos|message
Ricardo||1404|5 anos atrás Muito bem localizado, atendimento muito bom! Preços são aqueles que todos já conhecem (caro) mas custo benefício vale a pena. Sempre tem clientes seja manhã, tarde ou noite. se preferir ambiente climatizado pode ficar do lado de dentro, se não, fique do lado de fora. Único aspecto que me incomodou é que ficando do lado de fora, o assédio dos vendedores ambulantes não é controlado. Pretendo retornar. 🙏1
Ana Claudia Sillos||25|5 anos atrás O pão de queijo é delicioso, com café ainda melhor!  /
Cristina Maurano|5.0/5||9 meses atrás Refeição no local  /  Café da manhã  /  R$ 40–60 Delicioso café, com o melhor mil folhas ! Preço justo. Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 Pratos recomendados Coxa Creme  /
Marta Gomes||1725|7 anos atrás Pequena, mas suficiente para um bom papo, um café gostoso, aqueles produtos gostosos e um atendimento carinhoso! Amo o pão de querido de grãos, a tartin é fantástica, o carinho de camarão, cozinha, empadinha, enfim, tudo gostoso! Tem uma linha diet aprovada pela associação de diabéticos. Vale a pena!  /
Yasmin B||10|5 anos atrás Possui a qualidade da rede Ofner. Mas o fato de ter mesas somente na calçada deixam a desejar. Entendo que o local seja pequeno, impedindo lugares na parte interna. Mas para uma pequena reunião nas mesas da calçada, o desconforto é grande. Há muitos ônibus passando pela Cardoso de Almeida, causando muito barulho, além de muitas pombas passando pelas mesas. Precisa-se de paciência para ser atendido. 🙏1
Marcos Pandolfi||162|2 anos atrás Adoro esse lugar. Tudo de excelente qualidade, ótimo atendimento. Frequento lá há uns 35 a 40 anos. Só está precisando dar uma ajeitada nos sanitários com mais frequência. Trocar aquela pia que está com um aspecto bem ruim, limpar com mais frequência. Mas o atendimento e a qualidade dos produtos é como sempre foi. Excelente.  /
Carol Roxo|||4 anos atrás Muitas mudanças, talvez por causa da pandemia. Preferia antes!!! Os funcionários são ótimos, mas o layout da loja está estranho. Os salgados embora ainda saborosos estão com a aparência esqualida. 🙏1
Thiago Fernandes||21|4 anos atrás A torta mousse de chocolate o bolo mil folhas é maravilhoso só senti falta do red Velvet que não tinha mais no cardápio e sem previsão de retorno mas o restante excelente 🙏1  /
Eliana Giorgi Lopes Puerta|5.0/5||Editado 9 meses atrás Refeição no local  /  Outro  /  R$ 20–40 Sempre frequento esse lugar agradável. Me traz alegria ! Gosto muito dos doces e salgados; principalmente o doce MIL FOLHAS! O atendimento é ótimo. Pessoas atenciosas que nos servem. Parabéns por ser um lugar que me traz paz! É tudo de bom! Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 Pratos recomendados Tortinha de Morango e Coxa Creme 🙏1  /
Rodrigo Clemente||1025|5 anos atrás Sempre muito bom, pra tomar café e relaxar
Marcelo Quaiatti||136|4 anos atrás Vim dois dias seguidos aqui, mas não venho mais. O Wi-Fi não funcionou nenhum dia. No 1o dia nao tinha aguia gelada, no 2o a agua veio congelada, eu reclamei e me deram uma agua quente. Pedi uma soremesa e tive que comer com a mão pos não me deram talheres. Depois as pessoas reclamam que os negocios estão indo mal. 🙏2
luiz mori|||3 anos atrás Todas as vezes q vou p tomar um café , sou abordado , intimidado pelos pedintes( ameaçam). Será q não é possível colocar uma pessoa para não nós incomodarem? Quanto a loja tudo perfeito. Att 🙏5  /
Gisele A.|||2 anos atrás Os produtos são ótimos, mas os funcionários do atendimento péssimos. Te ignoram e demoram muito pra atender. Perguntei a um atendente se ele estava atendendo e o mesmo disse não e ficou batendo papo com outro funcionário sem fazer nada na entrada da loja, em plena tarde. Não voltarei 🙏3  /
Moira Monteiro||4|4 anos atrás Péssimo doce mil folhas, fiquei decepcionada, massa grossa, pesada e o recheio parecia ser industrializado. As lojas de Pinheiros e Perdizes são totalmente diferentes, maravilhosos os doces, pensei que o padrão fosse o mesmo, me enganei. 🙏1
Max Reichhardt||7|8 anos atrás Sem estrelas. Saí ofendido da loja por ter pedido mais um copinho de água (daquele que acompanha o cafezinho) e me foi recusado, por orientação da empresa. Mesmo sendo cliente quase que diário, e fiz sim consumo de dois cafés e como sempre acompanhado de dois salgados. Para mim a recusa de um copinho de água me soou como ofensa. Por isso não volto mais nessa loja, e nenhuma outra desta rede. 🙏1  /
J B||872|7 anos atrás Serviço atencioso, salgados e doces de boa qualidade. Café com leite e croissant excelente. Doce Citron maravilhoso.Preço um pouco elevado.Nesta unidade anheiro limpo, mas deteriorado. O teto na fachada precisa de reforma urgente. 🙏2  /
Leopoldo Burda||382|6 anos atrás Lugar muito agradável e com atendimento exemplar. Muito bom para parar e tomar um bom café, provar diversos tipos de chocolates, doces bem elaborados e bem feitos. Local convidativo para uma boa conversa ou reunião. Preço dentro do esperado comparado com as outras lojas de chocolates. Recomendo.  /
Manuel Tak||209|3 anos atrás Os atendentes são mto simpáticos e prontos para servir e a qualidade dos produtos são de mto boa qualidade. As mesas expostas na parte externa deixa o ambiente maia descontraído e ficamos mais a vontade para desestressar o dia a dia. 🙏1  /
Eva|||um ano atrás Super desapontada com a qualidade do café...mto ruim...mto amargo. Sugiro que troquem de marca !  /
Beth Arias||16|7 anos atrás Eles não fritam coxinhas quando acaba o que tem na vitrine ou assam mais pães de queijo, ai tem que comer o que tem disponível, isso é um problema de gestão e qualidade no atendimento. Num sábado às 21h sem coxinha sendo que funcionam até às 23h é perda de venda...  /
Dilma Vicari|||um ano atrás Estava a procura de um presente e fui na Ofner, onde o Vinícius montou um presente personalizado e incrível para mim. O Vinícius foi super atencioso e diferenciado! Fez toda a diferença e me ajudou!  /
Emilen Moura||218|3 anos atrás Lugar que amamos para adoçar o dia! Atendimento muito bom, os doces são divinos, os bolos também. Tudo com muita qualidade e requinte. Os chocolates são incríveis, vale muito a pena uma parada por lá. 🙏3  /
Brunna Feix|||um ano atrás Amo tudo da ofner… mas estou decepcionada com a coxinha de camarão… só tinha o rabo do camarão. O restante do recheio era de frango!  /
Dario Ferreir Junior|||4 meses atrás Os doces são excelentes  /
Rubens Oliveira||14|6 anos atrás Falta de Wifi em praticamente toda a Rede Ofner.... está ficando chato... a loja de perdizes é a 4ª loja que vou que ou o Wifi não está funcionando, ou não tem uma rede destinada à clientes.... As vezes precisamos parar para enviar um e-mail ou outra coisa, e a Ofner deveria ser um lugar confiável para isso... devido à este problema, que me parece generalizado, nunca mais piso em outra Ofner...  /
Carlos Seabra||45|9 anos atrás Local simpático com mesas e cadeiras ao ar livre, num trecho bonito de Perdizes. Tirando a eventual dificuldade de estacionar quando o lugar está bem cheio (mas normalmente é facílimo), é uma ótima pedida para tomar algo e comer doces bem variados, inclusive comopções sem adição de açúcar.  /
Rejane Do Rêgo Monteiro||2|5 anos atrás Amo esse lugar. Sou vidrada na empadinha de palmito (empadinha mesmo, porque é bem pequena) é também amo o sorvete diet de côco. E a peculiaridade das mesas na calçada é um charme de um bem estar tremendo!
L. N.||39|2 anos atrás Atendimento lento, sem vontade, quase te ignoram. Os produtos são bons. Mas não vou voltar, tem muitas outras opções na região. 🙏2  /
Filipe Giesbrecht||16|7 anos atrás Doces sempre bons, salgados apenas razoáveis. Mais uma marca cara pela fama. No caso desta de Perdizes, é bem agradável pois tem uma varanda muito gostosa.  /
Vanessa Alves|||·1 foto Editado 2 anos atrás Atendimento muito ruim, pior Ofner que já fui. Funcionários não atendem nas mesas, fingem que não te vêem e etc.. os produtos são bons, como todas as ofners, mas não compensa o desgaste pelo mau atendimento 🙏1  /
Maria Alice Carnevalli|4.0/5||um ano atrás Refeição no local  /  Outro  /  R$ 80–100 Tem alimentos muito bons, mas os preços são exorbitantes. Todos os itens são caros. Comida: 4/5  /  Serviço: 4/5  /  Ambiente: 4/5  /
Mariano Martins|||4 anos atrás O café é tenebroso: tome ele depois de comer os deliciosos doces da casa, e tudo que você vai sentir é um gosto de queimado, de cinzas - como se você tivesse comido as cinzas de um cigarro. Venha para os doces, que seguem deliciosos. Mas se mantenha LONGE do tenebroso café! 🙏2  /
Adenir dos Santos fabiano (Nofrinho Motorista)|||6 anos atrás Os obstáculos para a realização de saborear os doces é transponiveis. Desde que sabiamente você pode degustar um prazeroso doces. Ofner é a matéria em questão de modernização nos doces. Trazendo até você o que há de melhor qualidade em doces. Procurando sempre a inovação com maestria divinamente voltada para oferecer o melhor. E sempre de portas abertas para você e sua família e amigos. Quando você estiver passeando é interessante conhecer a Ofner. Em 12/07/2019 as 16:11 Sexta feira Nofrinho Motorista  /  Giovana Local Guide·1.495 avaliações·5196 fotos 5 anos atrás café e doces padrão Ofner e atendimento excelente  /
Marcelo Amaral|||7 anos atrás Atendentes prestativos. Bom café, maravilhosa torta de morango e fantástico mil folhas. Porém, quase não tem lugares para se sentar, o que acho péssimo.  /
Vera Max||2|um ano atrás Não adianta. Essa loja está fadada a fechar. Gente mal educada para atender, com mau humor. Essa empresa não tem futuro. 🙏1  /
Laura Laura||125|2 anos atrás Amei, fui atendida pelo Vinícius me deu sugestões deliciosas, nota 10 de atendimento. Parabéns, Vinicius e toda a equipe.  /
Lucilia Aguiar de Souza|||7 anos atrás Muito bom como toda Ofner,único inconveniente é que bateu 22:45 horas começam a recolher mesas e cadeiras para dentro da loja,ficando na obrigação de me levantar!! Entendo que os funcionários querem ir embora,pois já cumpriram o horário de trabalho,mas é bem desagradável!!!Ofner da rua Caiubi.  /
Flavia Cristina|||12 anos atrás Em 01/06/13, comprei 3 bombas de chocolate ( Eclair) na Ofner de Perdizes e para o meu espanto havia um FIO DE CABELO ENORME LOIRO NO MEIO DE UM DOS DOCES. Agora preciso de tempo para devolver os 3 doces para eles e solicitar o meu dinheiro de volta. É lamentável isso acontecer. Eu ERA cliente da Ofner e sempre adorei os produtos, embora o preço seja bem alto.  /
Silvana Vasconcelos|4.3/5|49|um ano atrás Refeição no local  /  Outro  /  R$ 80–100 Muito agradável apesar do frio. Foi nos oferecido mantas para nos aquecer um mimo. Comida: 4/5  /  Serviço: 5/5  /  Ambiente: 4/5  /
Lucas Otto||222|7 anos atrás Confeitaria tradicional com opções saborosas de doces, bom café e atendimento atencioso. Valores um pouco altos. Nessa unidade de esquina, procure vagas na própria rua, não há estrutura para estacionar 🙏1  /
Flavio Gaiarsa||22|3 anos atrás Compramos um bolo de sorvete o que é um predileto em nossa casa Mas também fios de ovos que em geral são muito bons, mas dessa vez estava um pouco seco  /
Maria Ligia Holanda Rolim|||3 anos atrás Sempre gostei dos doces e salgados da ofner, mas hoje comprei 2 coxinhas de camarão e de camarão só tinham o rabo!!!fiquei chateada com medo que a ofner perca a qualidade!!!😔 🙏2  /
Geraldo Faria||77|Editado 5 anos atrás Já foi uma ótima opção para docinhos, salgadinhos e tortas doces e salgadas... Hoje fica um bocado a desejar, tanto ma qualidade das comidas como nos altos preços cobrados e também no atendimento...  /
Andrea Hennrichs|5.0/5|209|Editado um ano atrás Refeição no local  /  Almoço  /  R$ 80–100 Show! Frequento a muitos anos. Com a mudança no cardápio: saladas, omeletes, etc..., ficou ainda mais delicioso. Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 Pratos recomendados Coxa Creme e Pâtisserie  /
Danilo José Reis|||4 anos atrás Péssima! Local cheio, poucos atendentes...esperamos em uma suja, com restos de Alimentos e utensílios de clientes anteriores. Os atendentes não vieram limpar a mesa e muito menos tirar o pedido. Fomos em embora sem ser atendidos
Karoline Rodrigues|||7 anos atrás Atendimento ótimo! São sempre bem receptivos e têm um redcake escandalosamente maravilhosos! O único ponto ruim é estacionar... Mas acredito que isso é um defeito das ruas de São Paulo mesmo. Haha  /
Renato Rocha||35|4 anos atrás Muito bom ...ótimo atendimento, salgados e doces saborosos. Vale a pena pelo preço.
Andrea Markossian|5.0/5||·1 foto um ano atrás Além de tudo ser delicioso….o Vinicius é o melhor atendente da Ofner Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5  /
Maria da Glória Fernandes Barão|||7 anos atrás Atendimento muito bom e os doces são ótimos. Gosto muito desse lugar. Acho que eles se renovaram nos seus produtos. Tem doces tradicionais mas também uma doçaria mais moderna!  /
Raphael Simoes||75|7 anos atrás Gosto muito das Ofner em geral. Essa aqui na Caiubi é do lado de casa. O lugar é bem aconchegante, muito legal. Gosto muito do café e do doce folhado. Porém, peca no atendimento, pois os funcionários atendem muito mal...  /
jean Rhavel||8|5 anos atrás O lugar é ótimo até os clientes foram simpáticos más quase R$7 numa lata de refrigerante não me leve a mal más sou meio pão duro para isso
Lince - Eduardo Chaves||6|Editado 8 anos atrás Bons produtos. O preço poderia ser mais atrativo, apesar disso, o ambiente é agradevel ajudando a relevar. Instruir as funcionarias a um curso de barista seria um aprimoramento interessante.  /
Topazio Silva|||2 anos atrás Ambiente limpo, acolhedor, Atendimento impecável! Todos muito sorridentes e prestativos! A melhor ofner que já entrei em todos os aspectos!  /
Carolina Brinholi||577|8 anos atrás a Ofner é banana, os doces e o café são claramente muito bons, mas sempre senti que os preços são exageradamente elevados, as coisas são boas, mas nada muito excepcional do que pode ser encontrado em outras docerias ou padarias.  /
Helenita Prieto|||7 anos atrás Apesar do nome conceituado,este local da rua Caiubi,bastante frequentado,me decepcionou,pedi uma bomba de creme e achei horrível,fiquei sabendo que não eram vindas da OFNER central(Sto Amaro).... além do preço que é nada doce!  /
Pedro Clini||10|8 anos atrás Ambiente fresco e agradável, com boa luminosidade e atendimento. Salgados muito saborosos e doces delicados de alta qualidade. Muito bem localizada e com horário de funcionamento bastante abrangente.  /
Fernanda Soares|||·1 foto 7 anos atrás Uma das melhores confeitarias da cidade, mas se vc prefere salgados não irá se decepcionar (indico o croquete e o risólis dr camarão, divinos).  /
Casas Do Pacaembu||18|6 anos atrás Ofner tem o padrão de qualidade inabalável. Sempre com um café gostoso, seus doces e salgados de primeira fazem desse lugar um paraíso das guloseimas.  /
Leandro Rosina||20|4 anos atrás As 5 estrelas vão para o Sr Jean. Acredito que seja o segurança, mas foi de uma simpatia e atenção que poderia ser o gerente da casa. Parabéns!!! 🙏1  /
Paulo Eduardo Vieira Rosato||970|um ano atrás Gostei. Os preços foram majorados, provavelmente para recuperar o faturamento perdido durante a reforma  /
Nathalia Rodrigues||53|7 anos atrás Atendimento sempre bom e atencioso, produtos excelentes e horário de funcionamento extenso. O bolo monet já vale a rede inteira por si próprio.  /
Marco Aurélio San||12001|6 anos atrás Como eu amo esse local. Excelente para reuniões e conversas descontraídas com o melhor café e doces maravilhosos. Tudo muito aconchegante e atendimento excelente. Recomendadissimo 🙏1  /
Diogo Inácio||6|5 anos atrás Produtos caros porém de ótima qualidade, só queria ver meu Notebook para fazer uma reunião com cliente tomar um café e não tinha tomada.... Da próxima vez vou no Starbucks. 🙏2
Adriana Sanho|||5 anos atrás O atendimento dessa loja é péssimo. Atendentes displicentes. Meu marido precisou entrar na loja e pedir um cafe. Pedi uns produtos para viagem e a atendente parou para conversar com outra pessoa. Enfim, péssimo. 🙏1
Eliana Alves Salles|||·1 foto Editado 7 anos atrás Lugar muito agradavel e aconchegante para tomar um chá ou um café com amigos aproveitando para se deliciar com os fantásticos doces. Tudo muito bom 🙏1  /
Gilmar Vieira||239|4 anos atrás Tudo de bom, variedade e muito sabor
Arthur Zamboti||8|7 anos atrás Era uma vez uma das melhores bombas de chocolate de SP... Café com sabor de queimado... Preço nas alturas... Mas equipe e ambiente simpáticos  /
katia tamura lopes|||Editado 6 anos atrás Atendimento ruim e demorado e produtos caros. Caixas sempre com problema e filas. Era pra ser um momento relaxante mas acabei saindo irritada! Custo-benefício ruim.  /
Alessandra Sinopoli Jona||9|4 anos atrás Excelente atendimento, compramos lindos e doces presentes. Ovos de Páscoa lindos, difícil decidir com tantos tipos e cores. Recomendo!  /
Priscila Vallinoto|||5 anos atrás Tudo muito gostoso! O problema é o preço, realmente bem caro.....Não dá para ir com frequência nem com fome!  /
Aline Lemos||83|2 anos atrás Atendimento e produtos impecáveis. Por conta das mesas ficarem externamente, há aquecedor e cobertores nas mesas.  /
David Barkan (MrBarkan)||9|8 anos atrás Tudo muito caro e de qualidade questionável. Para quem entende e tem referência de doces e salgados, aqui definitivamente não funciona, só vai se decepcionar.  /
Ciça Caropreso|||·1 foto 7 anos atrás Os mesmos produtos gostosos, atendimento simpático e preço alto de toda Ofner. Mesinhas ao ar livre, sob o toldo da fachada. Difícil achar onde estacionar na rua.  /
Adriana Barao||2|2 anos atrás Tudo muito gostoso, excelente atendimento e o mil folhas, com certeza, o melhor que já comi.  /
Kako||347|7 anos atrás Lugar gostoso para pequenos lanches, café e doces. Chocolates e panetones deliciosos. Não é barato, mas tem produtos de ótima qualidade.  /
Ronie Finotti||2|6 anos atrás Ambiente e atendimento super bons e tradicionais.. Os doces continuam maravilhosos e preços caros mas baita qualidade..  /
OVERSIGN Envelopamento||648|5 anos atrás lugar aconchegante, doces e cafés, maravilhosos, parabéns pelo atendimento, equipe muito educada e atenciosa, voltarei sempre que puder.  /
Cecilia Andrietta||457|6 anos atrás Ótimo lugar para um café com amigos em noites de verão... preços um pouco salgados, mas vale pelo atendimento simpático.  /
Sérgio Kazuo Morino||78|11 anos atrás Lugar agradável, e o café é bom. Pena que o atendimento deixa a desejar. Funcionários mal treinados para um público disposto a pagar o preço alto.  /
Oduvaldo Pavan Junior||17|9 anos atrás A Ofner sempre tem excelentes produtos, desde o café (recomendo o com Rum), salgados, doces e chocolates, o preço poderia ser um pouco mais acessível  /  Iara Conca Local Guide·1.265 avaliações·21166 fotos 8 anos atrás Nada diferente das outras da rede, mas a disponibilidade de mesas não é grande, o que faz o cliente ter que consumir em pé, mesmo querendo sentar.  /
Alex Debatin||23|5 anos atrás Tradicional ponto familiar de cafés e quitutes salgados e doces variados... Ótimo ambiente para ir sozinho ou acompanhado.
Lu K||4|2 anos atrás Mesinhas fora agradaveis e doces bons. Cafe cappuccino horrivel, mas o resto compensa.  /
Gustavo Verhalen|||·1 foto 7 anos atrás Já foi melhor... Os salgados estão sempre muito encharcados de óleo... O sorvete tem que melhorar... Mas o local é bem agradável...  /
Felipe Chahad|||8 anos atrás Pior ofner que já fui, atendimento péssimo, 3 funcionários me IGNORARAM quando sinalizei para fazer o pedido, mendigos na rua, torço sinceramente para que feche.  /
Ceci Andrietta||147|3 anos atrás O atendimento está excelente e a variedade de doces lindos e com muitas novidades no cardápio.  /
EDSONPLACCO||9|5 anos atrás Além do expresso bem tirado, tem a simpatia da Francisca, da Maria e outras, que nos atendem muito bem, quase sempre com sorriso nos lábios.  /
Mariya Krastanova||49|5 anos atrás Comprei um Panetone da Ofner em perdizes dos mais caros... dei de presente e quando a pessoa abriu o panetone tava todo amassado... fiquei decepcionada mas ok...  /
Fernando Busato||7|9 anos atrás Se for bem a noitão, dificilmente encontrará salgados, pois não repõe estoques. Mas mesmo assim, salgados e doces excelentes.  /
Leonor Gelpi||94|7 anos atrás A Offner da Rua Cayubi, em Perdizes é um excelente local para sentar ao ar livre, tomar um café e saborear doces e salgados deliciosos. Drs para a empada de frango e para as delicadas Florentinas.  /
Rogerio Fazzio||18|Editado 8 meses atrás Refeição no local  /  Outro  /  R$ 20–40 Ótimas opções para saborear,visual inovador e excelentes funcionários! Obrigado Pratos recomendados Coxa Creme, Empada de Palmito e Soda Italiana  /
William Souza Almeida||606|5 anos atrás Local aconchegante, bem organizado e com praticamente todos os produtos da Ofner a pronta entrega. Bom atendimento, funcionários atenciosos e educados. 🙏1
Katia Brochini Burza||135|8 anos atrás Bom atendimento. Ótimos doces e salgados com preferência pelo mil folhas, sempre crocante e fresco!  /
Marcia de Moraes||17|6 anos atrás Capuccino estava mais pra um café com leite sem vergonha e o brigadeiro seco, na cara que era amanhecido. Lamentável pra uma ofner  /
Anna Cristina Perone|||8 anos atrás Ótimo atendimento. Produtos de excelente qualidade. O chocolate quente e o sorvete de frutas amarelas são meus preferidos.  /
Theotonio Pauliquevis||392|8 anos atrás Produtos ótimos... mas os preços lá em cima. Ótimo lugar para tomar um café um sábado a tarde, nas mesas do lado de fora.  /
Roger Miura||967|7 anos atrás Excelente lugar para se ir depois de um jantar ! Tomar um cafe provar algum doce ! Recomendo ! 🙏1  /
Claudia Rossi|||"5 anos atrás Atendimento sempre excelente e a ""bomba"" de chocolate está mais gostosa ainda!!! Uma boa para encerrar a semana com chave de ouro!!!"
Julianna Kirillov||15|8 anos atrás Amo muito tudo isso 😍 Confeitaria de origem húngara de excepcional qualidade aonde tudo é feito com carinho mesmo que em grande demanda.  /
Marigrazia Savio||17|6 anos atrás Lugar agradável. Poucas mesas do lado de fora. Bom atendimento, mas demorado. Preços altos. Sem estacionamento próprio.  /
Thales Mora||360|8 anos atrás Docinhos maravilhosos... Sem comentários. Bem gostoso sentar nas mesinhas externas e tomar um bom café vendo o movimento da rua!  /
Marilena Muro|||7 anos atrás O atendimento continua muito bom mas fiquei muito decepcionada com o pão de queijo integral 😣 não tinha nenhuma semente de girassol e estava massudo 😨  /
Bruna Silva||60|7 anos atrás Excelente atendimento e produtos qualidade ofner (ótimo mas com preços médios). Ótimo pra um bate papo de negócios ou um café casual. 🙏1  /
Celso Santos|||4 anos atrás Uma loja dos sonhos, pena eu ser diabético , comprei um bolo sorvete para minha sobrinha ,e ela adorou, fiquei muito feliz.
Viviane Thomaz||75|6 anos atrás Doces e salgados muito mais que saborosos. O atendimento é nota 10! Vale muito a pena conhecer.  /
P S Izzo||9|4 anos atrás Lugar agradável, bom atendimento e ótimos salgadinhos. Mas o preço é um pouco exagerado
Marcio Ribeiro||109|4 anos atrás Doces e salgados deliciosos, funcionários atenciosos em atendimento para retirada na loja, sem filas ou aglomeração.  /
Eliane Abrikian|||2 anos atrás Tradicional em Perdizes, doces, salgados, cafés, chocolate e muito mais, atendimento sempre impecável  /
Marcia Bernal||41|6 anos atrás Qualidade, tradição, ambiente agradável e atendimento impecável. Precisa mais o que ?? O Preço é salgadinho mas pra quem quer qualidade, o preço é proporcional.  /
Dani Junqueirah||10|7 anos atrás Adoro o ambiente descontraído da Ofner. Com um menu cheio de comidinhas e docinhos, é perfeito para um bate papo casual.  /
Mara Dos Reis||2|2 anos atrás Propaganda de 70% foi uma furada. Fui várias vezes e diz que a loja está sem estoque. 🙏2  /
Daniela Zulian||380|4 anos atrás Bom atendimento! As mesinhas ficam numa área externa, num ambiente bem agradável. Tudo delicioso! 🙏1
Augusto Ferrari Pompeu de Toledo||284|4 anos atrás É muito bom comida boa porém, parece que eles mudaram o sistema e os funcionários não se entendem
Christina Neder||2|6 anos atrás Hum!!!! O Paraíso. Tudo maravilhoso. Doces, salgados, capuccino sem igual. Atendimento nota 10.  /
Agnaldo Lombardi||1239|6 anos atrás Uma das melhores da rede, o local é bem aconchegante, doces, salgados e cafés muito bons.  /
Cecilia Pinheiro|||Editado 7 anos atrás Ótimo lugar para um cafezinho e um salgadinho. Bom lugar para um papo. Serviço de atendimento mto ruim. Precisa melhorar mto  /
Thiago Lopes||74|8 anos atrás Duas coisas me fazem ir até a ofner, a coxinha de frango com catupiry é excelente e o mil folhas é incrível.  /
Hilda Oliveira||95|um ano atrás Foi ótimo, muito bem servida, bom atendimento Recomendo  /
lucy cohn|||5 anos atrás podia ser melhor atendido ..!mesas bambas cadeiras bambas ...as pessoas atendentes sao roboticas ..Pelo preço podia ser melhor .Falando da Ofner das Perdizes  /
Luis Fernando de Deus Lopes||246|"6 anos atrás O local é legal mas na saída você é extorquindo pelo ""guardadores"" de carro que ficam na rua. Bem perigoso caso você decida não pagar. 🙏3  /"
Adriana Paulo||47|6 anos atrás Lugar gostoso, ótimas opções de café, mas falta um.lugar mais fechado p noites frias  /
Zé Luiz Polidoro||1297|Editado um ano atrás Pessimo atendimento. Hj 25/11/23 Fui ameaçado por um guardador de carro. Segurança presenciou e se omitiu. Não recomendo. 🙏1
jose alberto miranda cravo roxo|||5 anos atrás Ruim . Meus doces foram mal embalados . Um absurdo num local em que se paga valores altos pelos serviços como na Ofner.
Debora Garbosa|||4 anos atrás A casa não estava cheia e pedimos apenas dois cafés, ficamos esperando 20 minutos. Lamentável
Rafael Infante||273|7 anos atrás Comida sempre maravilhosa. Conforto nesta loja não é o que se espera. Acentos duros e desconfortáveis.  /
Sandra Mraz||4|4 anos atrás Excelente produtos. Mas o local muito cheio em época de pandemia sem controle de distanciamento
Felipe Lima||8|7 anos atrás Doces muito bons, atendimento também, mas os preços são salgados. Para uma ida esporádica, ok.  /
Debora Freitas||474|8 anos atrás Ofner mantém a qualidade dos produtos e serviços. Sempre uma ótima opção para um lanche ou um bom doce.  /  Odontopediatria Lapa Local Guide·1.214 avaliações·961 fotos 5 anos atrás Muito fino os chocolates e sorvetes. Doces poderiam ter mais diversidade. Panetone ótimo e cafezinho quentinho.
Julio Bastos||64|9 anos atrás Ambiente agradável com charmosas mesinhas a beira da calçada e bons produtos apesar do preço alto.  /
Adriana Ruffo Anspach||51|7 anos atrás Capuccino gostoso, lugar agradável, só poderia ter mesas e cadeiras dentro também.  /
Telma Ferreira Rocha Bandoni||252|6 anos atrás Gostaria de frequentar mais vezes. Confortável, tem muitas opções de doces e salgados, presentes e sorvetes.  /
Danilo Martins||255|6 anos atrás Ótimo café. Sorvete e pao se queijo caprichados também. Recomendo.  /
Eneida FAR||984|5 anos atrás Atendimento excelente e doces zero calorias deliciosos. Recomendo o mousse de chocolate.  /
Katia Fernandes||34|7 anos atrás Produtos de primeira, atendimento atencioso e pessoal bem treinado. Café perfeito!  /
Regina Lima||2449|7 anos atrás Estive a pouco na Ofner da Rua Caiubi, São Paulo SP. Atendimento excelente. Eclair de creme maravilhosa. Recomendo.  /
Nilton Lourenço|||6 anos atrás Local extremamente agradável ! ótimos doces chocolates e cafés ! vale a visita !  /
thais lazarini|||9 anos atrás Lugar eh bom.. mas faltam atendentes... 10 min para ser atendido e mais 10 para ser servido...  /
Maria Aparecida Zuliani Rodrigues|||7 anos atrás Maravilhosa! Salgados muito bons. Especialmente a empada de palmito. O chocolate quente é demais!  /
rachel filogonio||31|7 anos atrás Bem gostoso o local, mas um inconveniente para o frio é que as mesas ficam no lado de fora.  /
Regina P|||7 anos atrás A minha experiência foi excelente lugar limpo funcionários muito atenciosos cordiais e gentis. Super recomendo!!  /
Gizele Teixeira||3|3 anos atrás Acho q já avaliei uma outra vez mais vou avaliar novamente pq não melhoram o atendimento péssimo prestado 🙏3  /
André menani|||4 anos atrás Ótimo atendimento salgados e doces maravilhosos vale a pena a visita. 🙏1  /
Manuela Pugliesi|||·1 foto 8 anos atrás Como toda loja da ofner, os produtos são bem caros. Porém, a localização e a disposição dessa em especial são agradáveis.  /
Elize Higuti||221|2 anos atrás Encontro com amigas! Lugar maravilhoso! Custo alto, mas muito bom!  /
Emilio Marchi|||4 anos atrás É um bom lugar , precisa evoluir na organização da fila de para escolha e pedidos...
Danilo Ap||4|4 anos atrás Bolos e café uma delícia apesar de ter preço um pouco salgado tem qualidade
Gisley Vitor|||8 anos atrás Local agradável, varias mesas, os doces são incríveis, recomendo a empada de frango  /
Paulo Neustein||13|6 anos atrás Ótimo atendimento mas os salgados são realmente muito pequenos.  /
maryan David||19|5 anos atrás Ótimo atendimento, pessoas muito atenciosas e o capricho como embalam ficam mais atrativos.
Thatiane Souza|||·1 foto 11 anos atrás Adorei os doces nesse lugar ... Super gostoso pra curtir num fim d tarde  /
Jorge Yang||3352|7 anos atrás Legal cafeteria, só que como as mesas são ambiente aberta, na chuva ou inverno, sente muito...🤣  /
Regina Célia Vicentim Bielovic||21|7 anos atrás Para quem procura um cafezinho mais tarde , essa é uma das poucas opções. Muito bom  /
Guilherme Estanislau Amaral|||5 anos atrás Comida espetaculara mas cara. Seus bolos são insuperáveis. Recomendo.
Franco Martins||60|8 anos atrás Café caro, poucas opções de salgado. Atendimento razoável. Sem estacionamento.  /
Carlos Correa|||4 anos atrás Pessoal mal treinado e grosseiro em especial uma funcionária . Sugiro melhorar treinamento da equipe sobre atendimento  /
